Nombre_Base,Nombre_Similar
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SANTO DOMINGO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAQB´E
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA BÁRCENAS
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAQB´E
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAN LUIS
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA EL ESFUERZO
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA PLAYA LINDA
COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS,COLEGIO PARTICULAR MIXTO FRAY BARTOLOMÉ DE LAS CASAS
COLEGIO PARTICULAR MIXTO EL ÉXITO,COLEGIO PARTICULAR MIXTO EL PINO
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR
COLEGIO PARTICULAR MIXTO FRAY BARTOLOMÉ DE LAS CASAS,COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS
COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA,COLEGIO PARTICULAR MIXTO TINTECO MARIA TERESA
COLEGIO PARTICULAR MIXTO TINTECO MARIA TERESA,COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA
INSTITUTO MIXTO DE MAGISTERIO BILINGUE SAN ANTONIO DE PADUA,INSTITUTO MIXTO DE MAGISTERIO BILINGÜE SAN ANTONIO DE PADUA
INSTITUTO MIXTO DE MAGISTERIO BILINGÜE SAN ANTONIO DE PADUA,INSTITUTO MIXTO DE MAGISTERIO BILINGUE SAN ANTONIO DE PADUA
INSTITUTO MIXTO DE EDUCACIÓN BILINGÜE INTERCULTURAL -IMEBI-,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,PROGRAMA NACIONA DE EDUCACIÓN ALTERNATIVA -PRONEA-
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, -PRONEA-."
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA -PRONEA-
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX - DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX- DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL JALAPA
COLEGIO INTEGRAL NUEVA GENERACIÓN,COLEGIO INTEGRAL NUEVA GENERACION
COLEGIO INTEGRAL NUEVA GENERACION,COLEGIO INTEGRAL NUEVA GENERACIÓN
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAQB´E
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAN LUIS
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA EL CARMEN
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA BÁRCENAS
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA LA UNIÓN
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA LOS CERRITOS
COLEGIO PARTICULAR MIXTO VALLE DEL URRAM,COLEGIO PARTICULAR MIXTO DEL VALLE
COLEGIO PARTICULAR MIXTO SAN JERONIMO,COLEGIO PARTICULAR MIXTO SAN JERÓNIMO
INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,INSTITUTO TECNICO DE CAPACITACIÓN Y PRODUCTIVIDAD- INTECAP-
INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,"INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD, INTECAP"
COLEGIO PARTICULAR MIXTO SAN JERÓNIMO,COLEGIO PARTICULAR MIXTO SAN JERONIMO
INSTITUTO EVANGÉLICO AMÉRICA LATINA,INSTITUTO EVANGELICO AMERICA LATINA
TECNOLOGICO PREUNIVERSITARIO,TECNOLOGICO PRE-UNIVERSITARIO
TECNOLOGICO PREUNIVERSITARIO,TECNOLÓGICO PREUNIVERSITARIO
CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2)
LICEO NUEVA GENERACION,LICEO NUEVA GENERACIÓN
CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO C.E.T.A.CH.,CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO C.E.T.A.CH.
INSTITUTO MIXTO TECNÓLOGICO CENTRAL CIUDAD DE LOS ESCUDOS,INSTITUTO MIXTO TECNOLÓGICO CENTRAL CIUDAD DE LOS ESCUDOS
INSTITUTO MIXTO TECNOLÓGICO CENTRAL CIUDAD DE LOS ESCUDOS,INSTITUTO MIXTO TECNÓLOGICO CENTRAL CIUDAD DE LOS ESCUDOS
